seine_id,survey_id,lat,long,set_time,so_total,so_taken,pi_total,pi_taken,cu_total,cu_taken,co_total,co_taken,he_total,he_taken,ck_total,ck_taken
DE296N1,DE296,50.386065,-125.376067,2016-06-02 10:38:00 PDT,200,30,6,6,200,10,0,0,0,0,NA,NA
DE297N1,DE297,50.462513,-125.368231,2016-06-02 14:39:00 PDT,300,30,100,4,80,3,0,0,1,0,NA,NA
DE299N1,DE299,50.239953,-125.126574,2016-06-03 08:21:00 PDT,200,30,200,10,200,10,1,1,0,0,NA,NA
DE300N1,DE300,50.190887,-125.143416,2016-06-03 12:45:00 PDT,600,30,100,10,100,10,2,1,0,0,NA,NA
DE301N1,DE301,50.30436,-125.332956,2016-06-07 08:25:00 PDT,80,30,0,0,15,10,0,0,0,0,NA,NA
DE302N1,DE302,50.242671,-125.398265,2016-06-07 13:10:00 PDT,570,30,36,10,80,10,2,1,16,10,NA,NA
DE303N1,DE303,50.347862,-125.455554,2016-06-08 06:40:00 PDT,400,30,100,10,100,10,0,0,0,0,NA,NA
DE305N2,DE305,50.461604,-125.368943,2016-06-08 12:00:00 PDT,100,30,50,10,50,10,1,1,0,0,NA,NA
DE307N1,DE307,50.31794,-125.050807,2016-06-09 07:00:00 PDT,0,0,26,10,40,10,1,1,1,1,NA,NA
DE308N1,DE308,50.190683,-125.143138,2016-06-09 10:30:00 PDT,80,30,60,10,100,4,0,0,0,0,NA,NA
DE310N2,DE310,50.021998,-124.916211,2016-06-11 07:05:00 PDT,1,1,10,8,6,5,0,0,0,0,NA,NA
DE315N1,DE315,50.391225,-125.365332,2016-06-13 09:50:00 PDT,15,15,100,10,80,9,0,0,0,0,NA,NA
DE320N1,DE320,50.235322,-125.39888,2016-06-14 08:47:00 PDT,200,30,400,10,400,10,0,0,0,0,NA,NA
DE321N1,DE321,50.275083,-125.381356,2016-06-14 11:58:00 PDT,6,6,500,10,20,10,0,0,0,0,NA,NA
DE322N1,DE322,50.307203,-125.332605,2016-06-14 14:20:00 PDT,100,30,100,10,200,10,0,0,0,0,NA,NA
DE327N2,DE327,50.191383,-125.143884,2016-06-16 14:00:00 PDT,300,30,100,0,100,0,0,0,0,0,NA,NA
DE327N1,DE327,50.191383,-125.143884,2016-06-16 11:23:00 PDT,100,30,30,10,30,10,0,0,0,0,NA,NA
DE329N2,DE329,50.30661,-125.335266,2016-06-21 09:36:00 PDT,14,14,20,10,30,10,0,0,0,0,NA,NA
DE335N2,DE335,50.382455,-125.373533,2016-06-22 07:00:00 PDT,100,60,200,10,200,10,0,0,0,0,NA,NA
DE338N1,DE338,50.458706,-125.365059,2016-06-22 13:00:00 PDT,50,30,100,10,100,10,0,0,3,3,NA,NA
DE341N1,DE341,50.24043,-125.119941,2016-06-23 10:20:00 PDT,21,21,100,10,200,10,0,0,3,3,NA,NA
DE344N1,DE344,49.997783,-125.15945,2016-06-24 11:45:00 PDT,9,9,70,10,70,10,0,0,3,3,NA,NA
DE352N1,DE352,50.378699,-125.373927,2016-06-30 06:43:00 PDT,6,6,300,10,300,10,0,0,2,2,NA,NA
DE353N1,DE353,50.348081,-125.455923,2016-06-30 09:45:00 PDT,22,22,200,10,40,10,0,0,0,0,NA,NA
DE355N1,DE355,50.462531,-125.359047,2016-06-30 15:15:00 PDT,6,6,70,10,50,10,0,0,0,0,NA,NA
DE360N1,DE360,50.275178,-125.378066,2016-07-06 06:40:00 PDT,24,24,200,10,40,10,0,0,0,0,NA,NA
DE361N2,DE361,50.307066,-125.322977,2016-07-06 10:15:00 PDT,8,8,100,10,100,10,1,1,0,0,NA,NA
DE364N1,DE364,50.18049002,-125.330849,2017-05-23 11:12:00 PDT,0,0,25,4,15,4,0,0,0,0,0,0
DE365N1,DE365,50.309067,-125.3257,2017-05-25 08:50:00 PDT,30,30,2,2,50,10,4,4,0,0,0,0
DE366N1,DE366,50.17999062,-125.0189455,2017-05-26 10:47:00 PDT,168,30,0,0,0,0,5,5,1,1,0,0
DE367N1,DE367,50.309278,-125.320699,2017-05-29 11:43:00 PDT,8,8,1,1,105,10,0,0,1,1,0,0
DE368N1,DE368,50.301803,-125.03049,2017-05-31 12:00:00 PDT,0,0,3,3,56,10,4,4,0,0,1,1
DE369N1,DE369,50.305482,-125.024803,2017-06-01 10:10:00 PDT,11,11,0,0,100,10,0,0,1,1,0,0
DE370N1,DE370,50.274875,-125.376937,2017-06-05 11:15:00 PDT,420,30,20,10,50,10,0,0,3,3,0,0
DE371N1,DE371,50.307761,-125.325384,2017-06-07 08:00:00 PDT,380,30,5,5,160,11,0,0,3,3,0,0
