eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE302N1,"NA",sockeyeCount,570,"NA","NA"
DE303N1,"NA",sockeyeCount,400,"NA","NA"
DE305N2,"NA",sockeyeCount,100,"NA","NA"
DE305N1,"NA",sockeyeCount,0,"NA","NA"
DE307N1,"NA",sockeyeCount,0,"NA","NA"
DE308N1,"NA",sockeyeCount,80,"NA","NA"
DE310N2,"NA",sockeyeCount,1,"NA","NA"
DE310N1,"NA",sockeyeCount,0,"NA","NA"
DE315N1,"NA",sockeyeCount,15,"NA","NA"
DE317N3,"NA",sockeyeCount,0,"NA","NA"
DE317N2,"NA",sockeyeCount,0,"NA","NA"
DE317N1,"NA",sockeyeCount,0,"NA","NA"
DE320N1,"NA",sockeyeCount,200,"NA","NA"
DE321N1,"NA",sockeyeCount,6,"NA","NA"
DE322N1,"NA",sockeyeCount,100,"NA","NA"
DE323N2,"NA",sockeyeCount,0,"NA","NA"
DE323N1,"NA",sockeyeCount,0,"NA","NA"
DE325N2,"NA",sockeyeCount,0,"NA","NA"
DE325N1,"NA",sockeyeCount,0,"NA","NA"
DE327N2,"NA",sockeyeCount,300,"NA","NA"
DE327N1,"NA",sockeyeCount,100,"NA","NA"
DE329N2,"NA",sockeyeCount,14,"NA","NA"
DE329N1,"NA",sockeyeCount,0,"NA","NA"
DE331N1,"NA",sockeyeCount,0,"NA","NA"
DE335N2,"NA",sockeyeCount,100,"NA","NA"
DE335N1,"NA",sockeyeCount,0,"NA","NA"
DE337N1,"NA",sockeyeCount,0,"NA","NA"
DE338N1,"NA",sockeyeCount,50,"NA","NA"
DE341N1,"NA",sockeyeCount,21,"NA","NA"
DE342N1,"NA",sockeyeCount,0,"NA","NA"
DE344N1,"NA",sockeyeCount,9,"NA","NA"
DE350N2,"NA",sockeyeCount,0,"NA","NA"
DE350N1,"NA",sockeyeCount,0,"NA","NA"
DE352N1,"NA",sockeyeCount,6,"NA","NA"
DE353N1,"NA",sockeyeCount,22,"NA","NA"
DE355N1,"NA",sockeyeCount,6,"NA","NA"
DE357N2,"NA",sockeyeCount,0,"NA","NA"
DE357N1,"NA",sockeyeCount,0,"NA","NA"
DE360N1,"NA",sockeyeCount,24,"NA","NA"
DE361N2,"NA",sockeyeCount,8,"NA","NA"
DE361N1,"NA",sockeyeCount,1,"NA","NA"
