eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
JE109N3,hakai-jsp-U183,fork length,115,mm,"NA"
JE104N1,hakai-jsp-U172,fork length,110,mm,"NA"
JE109N3,hakai-jsp-U174,fork length,103,mm,"NA"
JE108N2,hakai-jsp-U163,fork length,110,mm,"NA"
JE108N2,hakai-jsp-U164,fork length,130,mm,"NA"
JE109N3,hakai-jsp-U165,fork length,109,mm,"NA"
JE109N3,hakai-jsp-U166,fork length,115,mm,"NA"
JE109N3,hakai-jsp-U184,fork length,106,mm,"NA"
JE109N3,hakai-jsp-U185,fork length,93,mm,"NA"
JE109N3,hakai-jsp-U186,fork length,103,mm,"NA"
JE104N1,hakai-jsp-U187,fork length,108,mm,"NA"
JE104N1,hakai-jsp-U188,fork length,102,mm,"NA"
JE104N1,hakai-jsp-U189,fork length,108,mm,"NA"
JE109N3,hakai-jsp-U175,fork length,107,mm,"NA"
JE109N3,hakai-jsp-U176,fork length,96,mm,"NA"
JE109N3,hakai-jsp-U177,fork length,111,mm,"NA"
JE104N1,hakai-jsp-U178,fork length,106,mm,"NA"
JE104N1,hakai-jsp-U179,fork length,102,mm,"NA"
JE109N3,hakai-jsp-U167,fork length,103,mm,"NA"
JE109N3,hakai-jsp-U168,fork length,110,mm,"NA"
JE104N1,hakai-jsp-U169,fork length,104,mm,"NA"
JE104N1,hakai-jsp-U170,fork length,103,mm,"NA"
JE104N1,hakai-jsp-U191,fork length,120,mm,"NA"
JE109N3,hakai-jsp-U126,fork length,104,mm,"NA"
JE104N1,hakai-jsp-U180,fork length,108,mm,"NA"
JE104N1,hakai-jsp-U201,fork length,105,mm,"NA"
JE104N1,hakai-jsp-U202,fork length,113,mm,"NA"
JE104N1,hakai-jsp-U203,fork length,103,mm,"NA"
JE106N4,hakai-jsp-U204,fork length,119,mm,"NA"
JE104N1,hakai-jsp-U192,fork length,112,mm,"NA"
JE104N1,hakai-jsp-U193,fork length,108,mm,"NA"
JE104N1,hakai-jsp-U194,fork length,128,mm,"NA"
JE106N4,hakai-jsp-U195,fork length,139,mm,"NA"
JE106N4,hakai-jsp-U190,fork length,120,mm,"NA"
JE106N4,hakai-jsp-U211,fork length,142,mm,"NA"
JE106N4,hakai-jsp-U212,fork length,138,mm,"NA"
JE106N4,hakai-jsp-U205,fork length,153,mm,"NA"
JE106N4,hakai-jsp-U206,fork length,136,mm,"NA"
JE106N4,hakai-jsp-U196,fork length,109,mm,"NA"
JE106N4,hakai-jsp-U197,fork length,113,mm,"NA"
JE106N4,hakai-jsp-U198,fork length,150,mm,"NA"
JE106N4,hakai-jsp-U199,fork length,155,mm,"NA"
DE103N1,hakai-jsp-U213,fork length,92,mm,"NA"
