"","eventID","occurrenceID","basisOfRecord","scientificName","occurrenceStatus","AphiaID","url","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","match_type","modified"
"26","2017-05-19:HAKAI:CALVERT:PRUTH_BAY_EDGE1:0","2017-05-19:HAKAI:CALVERT:PRUTH_BAY_EDGE1:0:0:07027","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"27","2017-05-21:HAKAI:CALVERT:KOEYE_ESTUARY_INTERIOR6:0","2017-05-21:HAKAI:CALVERT:KOEYE_ESTUARY_INTERIOR6:0:0:07009","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"28","2017-09-03:HAKAI:CALVERT:GOOSE_SOUTHWEST_INTERIOR4:0","2017-09-03:HAKAI:CALVERT:GOOSE_SOUTHWEST_INTERIOR4:0:0:11030","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"29","2017-09-04:HAKAI:CALVERT:GOOSE_SOUTHEAST_EDGE2:0","2017-09-04:HAKAI:CALVERT:GOOSE_SOUTHEAST_EDGE2:0:0:11106","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"30","2017-08-29:HAKAI:CALVERT:MCMULLIN_NORTH_EDGE1:0","2017-08-29:HAKAI:CALVERT:MCMULLIN_NORTH_EDGE1:0:0:10278","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"31","2018-05-22:HAKAI:CALVERT:PRUTH_BAY_INTERIOR6:0","2018-05-22:HAKAI:CALVERT:PRUTH_BAY_INTERIOR6:0:0:10840","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"32","2018-05-24:HAKAI:CALVERT:KOEYE_ESTUARY_EDGE2:0","2018-05-24:HAKAI:CALVERT:KOEYE_ESTUARY_EDGE2:0:0:10996","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"33","2018-08-07:HAKAI:CALVERT:MCMULLIN_NORTH_EDGE1:0","2018-08-07:HAKAI:CALVERT:MCMULLIN_NORTH_EDGE1:0:0:11018","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"34","2018-08-08:HAKAI:CALVERT:GOOSE_SOUTHWEST_EDGE3:0","2018-08-08:HAKAI:CALVERT:GOOSE_SOUTHWEST_EDGE3:0:0:11147","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
"35","2018-08-10:HAKAI:CALVERT:TRIQUET_BAY_INTERIOR6:0","2018-08-10:HAKAI:CALVERT:TRIQUET_BAY_INTERIOR6:0:0:17124","HumanObservation","Zostera subg. Zostera marina","present",145795,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795","Linnaeus, 1753","accepted",NA,220,"Species",145795,"Zostera subg. Zostera marina","Linnaeus, 1753",370435,"Plantae","Tracheophyta","Magnoliopsida","Alismatales","Zosteraceae","Zostera","WoRMS (2021). Zostera subg. Zostera marina Linnaeus, 1753. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=145795 on 2021-09-13","urn:lsid:marinespecies.org:taxname:145795",1,"exact","2008-12-09T10:03:16.140Z"
