occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,eventID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,dataGeneralizations
ioos_atn_38553_2011-06-23T04:23:32Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-23T04:23:32Z,66.475,-162.784,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-23T04:23:32Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-23T07:13:31Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-23T07:13:31Z,66.501,-162.779,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-23T07:13:31Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-23T08:53:26Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-23T08:53:26Z,66.508,-162.824,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-23T08:53:26Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-23T13:42:55Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-23T13:42:55Z,66.56,-162.924,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-23T13:42:55Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-24T00:32:04Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-24T00:32:04Z,66.593,-162.906,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-24T00:32:04Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-24T03:07:08Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-24T03:07:08Z,66.603,-162.942,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-24T03:07:08Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 3 records.
ioos_atn_38553_2011-06-24T05:51:21Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-24T05:51:21Z,66.615,-162.96,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-24T05:51:21Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 3 records.
ioos_atn_38553_2011-06-24T06:51:41Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-24T06:51:41Z,66.614,-162.957,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-24T06:51:41Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,
ioos_atn_38553_2011-06-24T07:10:49Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-24T07:10:49Z,66.611,-162.97,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-24T07:10:49Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-24T08:51:08Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-24T08:51:08Z,66.609,-162.933,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-24T08:51:08Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-25T00:09:16Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T00:09:16Z,66.614,-162.991,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T00:09:16Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-25T01:18:26Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T01:18:26Z,66.625,-163.019,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T01:18:26Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 3 records.
ioos_atn_38553_2011-06-25T02:41:14Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T02:41:14Z,66.616,-163.039,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T02:41:14Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,
ioos_atn_38553_2011-06-25T03:29:42Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T03:29:42Z,66.626,-163.005,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T03:29:42Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
