seine_id,survey_id,lat,long,set_time,so_total,pi_total,cu_total,co_total,he_total,ck_total
DE272N1,DE272,49.990151,-125.160818,2016-05-18 13:15:00 PDT,0,0,0,0,0,NA
DE272N2,DE272,49.990151,-125.160818,2016-05-18 12:51:00 PDT,0,0,0,0,0,NA
DE274N1,DE274,50.319977,-125.042165,2016-05-19 06:56:00 PDT,100,3,8,1,0,NA
DE275N1,DE275,50.241361,-125.119113,2016-05-19 10:52:00 PDT,600,20,20,1,0,NA
DE276N1,DE276,50.191099,-125.138578,2016-05-19 14:10:00 PDT,100,70,70,0,0,NA
DE277N1,DE277,50.30908,-125.325703,2016-05-23 06:30:00 PDT,600,40,40,1,0,NA
DE278N1,DE278,50.274701,-125.377445,2016-05-23 09:30:00 PDT,600,100,100,0,4,NA
DE279N2,DE279,50.224106,-125.395004,2016-05-23 13:25:00 PDT,600,60,60,7,3,NA
DE279N1,DE279,50.224106,-125.395004,2016-05-23 13:00:00 PDT,0,0,0,0,0,NA
DE282N1,DE282,50.392115,-125.374782,2016-05-24 08:44:00 PDT,500,4,7,3,0,NA
DE284N2,DE284,50.3175,-125.050736,2016-05-26 07:52:00 PDT,2,40,20,2,0,NA
DE284N1,DE284,50.3175,-125.050736,2016-05-26 07:13:00 PDT,3,1,9,1,0,NA
DE287N1,DE287,50.190737,-125.143169,2016-05-26 11:06:00 PDT,600,80,80,0,0,NA
DE288N1,DE288,50.243773,-125.397476,2016-05-27 07:00:00 PDT,400,40,20,0,1,NA
DE290N2,DE290,50.304166,-125.333511,2016-05-27 12:32:00 PDT,200,9,13,0,4,NA
DE290N1,DE290,50.304166,-125.333511,2016-05-27 11:30:00 PDT,0,0,0,0,0,NA
DE292N1,DE292,50.308769,-125.326765,2016-06-01 07:47:00 PDT,200,3,60,0,0,NA
DE293N1,DE293,50.274055,-125.328828,2016-06-01 10:50:00 PDT,1000,100,100,2,13,NA
DE294N1,DE294,50.24565,-125.396035,2016-06-01 14:35:00 PDT,50,100,10,0,0,NA
DE295N1,DE295,50.347739,-125.45463,2016-06-02 07:17:00 PDT,400,4,100,0,3,NA
DE296N1,DE296,50.386065,-125.376067,2016-06-02 10:38:00 PDT,200,6,200,0,0,NA
DE297N1,DE297,50.462513,-125.368231,2016-06-02 14:39:00 PDT,300,100,80,0,1,NA
DE299N1,DE299,50.239953,-125.126574,2016-06-03 08:21:00 PDT,200,200,200,1,0,NA
DE300N1,DE300,50.190887,-125.143416,2016-06-03 12:45:00 PDT,600,100,100,2,0,NA
DE301N1,DE301,50.30436,-125.332956,2016-06-07 08:25:00 PDT,80,0,15,0,0,NA
DE302N1,DE302,50.242671,-125.398265,2016-06-07 13:10:00 PDT,570,36,80,2,16,NA
DE303N1,DE303,50.347862,-125.455554,2016-06-08 06:40:00 PDT,400,100,100,0,0,NA
DE305N2,DE305,50.461604,-125.368943,2016-06-08 12:00:00 PDT,100,50,50,1,0,NA
DE305N1,DE305,50.461604,-125.368943,2016-06-08 11:45:00 PDT,0,0,0,0,0,NA
DE307N1,DE307,50.31794,-125.050807,2016-06-09 07:00:00 PDT,0,26,40,1,1,NA
